"Nombre completo","Correo electrónico","Nº de seguimientos","Actividades"
"Ayuntamiento De Bilbao","info@bilbao.example.com","0",""
"Azure Interior","vauxoo@yourcompany.example.com","0",""
"Deco Addict","info@agrolait.com","2","Llamada"
"","","","Actividades pendientes"
"ES Company","info@company.esexample.com","0",""
"Gemini Furniture","john.b@tech.info","0",""
"LightsUp","lightsup@example.com","0",""
"Lumber Inc","lumber-inv92@example.com","0",""
"Mulhacén Digital S.L.","info@mulhacendigital.es","0",""
"OpenWood","ErikNFrench@armyspy.com","1","OpenWood"
"Ready Mat","info@deltapc.example.com","0",""
"The Jackson Group","jackson.group82@example.com","0",""
"Téleferico del Teide Solutions S.L.","info@telefericosolutions.es","0",""
"Wood Corner","bhu.a100@ic.example.com","0",""
"YourCompany","info@yourcompany.com","0",""
